INFO 2023-07-12 19:06:45 (8889) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Jawaharlal    Nehru Technological University, Hyderabad successfuly
INFO 2023-07-12 19:06:45 (8889) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Jawaharlal    Nehru Technological University, Kakinada successfuly
INFO 2023-07-12 19:06:45 (8890) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kakatiya University successfuly
INFO 2023-07-12 19:06:45 (8890) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Krishna University successfuly
INFO 2023-07-12 19:06:45 (8890) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Mahatma Gandhi    University, Nalgonda successfuly
INFO 2023-07-12 19:06:45 (8890) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added National Academy of    Legal Studies and Research successfuly
INFO 2023-07-12 19:06:45 (8891) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Osmania University successfuly
INFO 2023-07-12 19:06:45 (8891) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Palamuru University successfuly
INFO 2023-07-12 19:06:45 (8893) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Potti Sreeramulu    Telugu University successfuly
INFO 2023-07-12 19:06:45 (8893) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rajiv Gandhi    University of Knowledge Technologies successfuly
INFO 2023-07-12 19:06:45 (8893) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rayalaseema    University successfuly
INFO 2023-07-12 19:06:45 (8893) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Satavahana University successfuly
INFO 2023-07-12 19:06:45 (8894) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri Krishnadevaraya    University successfuly
INFO 2023-07-12 19:06:45 (8894) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri Padmavati Mahila    Visvavidyalayam successfuly
INFO 2023-07-12 19:06:45 (8894) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri Venkateswara    Institute of Medical Sciences successfuly
INFO 2023-07-12 19:06:45 (8894) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri Venkateswara    University successfuly
INFO 2023-07-12 19:06:45 (8895) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri    Venkateswara Vedic University successfuly
INFO 2023-07-12 19:06:45 (8897) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sri    Venkateswara Veterinary University successfuly
INFO 2023-07-12 19:06:45 (8898) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Telangana University successfuly
INFO 2023-07-12 19:06:45 (8898) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Vikrama Simhapuri    University successfuly
INFO 2023-07-12 19:06:45 (8899) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Yogi Vemana    University successfuly
INFO 2023-07-12 19:06:45 (8899) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Assam Agricultural    University successfuly
INFO 2023-07-12 19:06:45 (8899) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dibrugarh University successfuly
INFO 2023-07-12 19:06:45 (8900) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gauhati University successfuly
INFO 2023-07-12 19:06:45 (8900) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Krishna Kanta    Handique State Open University successfuly
INFO 2023-07-12 19:06:45 (8900) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Aryabhatta    Knowledge University successfuly
INFO 2023-07-12 19:06:45 (8901) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added B. R. Ambedkar Bihar    University successfuly
INFO 2023-07-12 19:06:45 (8901) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Bhupendra Narayan    Mandal University successfuly
INFO 2023-07-12 19:06:45 (8902) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Chanakya National Law    University successfuly
INFO 2023-07-12 19:06:45 (8902) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Jai Prakash    University successfuly
INFO 2023-07-12 19:06:45 (8903) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kameshwar Singh    Darbhanga Sanskrit University successfuly
INFO 2023-07-12 19:06:45 (8903) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Lalit Narayan Mithila    University successfuly
INFO 2023-07-12 19:06:45 (8903) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Magadh University successfuly
INFO 2023-07-12 19:06:45 (8904) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Maulana    Mazharul Haque Arabic and Persian University successfuly
INFO 2023-07-12 19:06:45 (8904) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Nalanda Open    University successfuly
INFO 2023-07-12 19:06:45 (8904) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Patna University successfuly
INFO 2023-07-12 19:06:45 (8905) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rajendra Agricultural    University successfuly
INFO 2023-07-12 19:06:45 (8906) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Tilka Manjhi    Bhagalpur University successfuly
INFO 2023-07-12 19:06:45 (8906) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Veer Kunwar Singh    University successfuly
INFO 2023-07-12 19:06:45 (8906) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Panjab University,    Chandigarh successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Ayush    and Health Sciences University of Chhattisgarh successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Bastar    University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Chhattisgarh Swami    Vivekanand Technical University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Hidayatullah National    Law University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Indira Gandhi    Agricultural University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Indira Kala Sangeet    University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kushabhau Thakre    Patrakarita Avam Jansanchar University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Pandit Ravishankar    Shukla University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Pandit Sundarlal    Sharma (Open) University successfuly
INFO 2023-07-12 19:06:45 (8907) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Surguja    University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Bharat Ratna Dr. B.    R. Ambedkar University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Delhi Technological    University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Guru Gobind Singh    Indraprastha University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Indraprastha    Institute of Information Technology successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added National Law    University, Delhi successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Goa University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Anand    Agricultural University successfuly
INFO 2023-07-12 19:06:45 (8908) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Maharaja    Krishnakumarsinhji Bhavnagar University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rai University, Ahmedabad successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Centre for    Environmental and Planning Technology University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dharamsinh Desai    University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dr. Babasaheb    Ambedkar Open University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gujarat Ayurved    University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gujarat    Forensic Sciences University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gujarat National Law    University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gujarat Technological    University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gujarat University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Hemchandracharya    North Gujarat University successfuly
INFO 2023-07-12 19:06:45 (8909) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Krantiguru Shyamji    Krishna Verma Kachchh University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Maharaja Sayajirao    University of Baroda successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sardar Patel    University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sardarkrushinagar    Dantiwada Agricultural University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Saurashtra University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Shree    Somnath Sanskrit University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Veer Narmad South    Gujarat University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Bhagat Phool Singh    Mahila Vishwavidyalaya successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Chaudhary Charan    Singh Haryana Agricultural University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Chaudhary Devi Lal    University successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Deenbandhu Chhotu Ram    University of Science and Technology successfuly
INFO 2023-07-12 19:06:45 (8910) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Guru Jambheshwar    University of Science and Technology successfuly
INFO 2023-07-12 19:06:45 (8911) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kurukshetra    University successfuly
INFO 2023-07-12 19:06:45 (8911) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Lala    Lajpat Rai University of Veterinary and Animal Sciences successfuly
INFO 2023-07-12 19:06:45 (8911) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Maharishi Dayanand    University successfuly
INFO 2023-07-12 19:06:45 (8911) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Pandit    Bhagwat Dayal Sharma University of Health Sciences successfuly
INFO 2023-07-12 19:06:45 (8912) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added YMCA University of    Science and Technology successfuly
INFO 2023-07-12 19:06:45 (8912) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Chaudhary Sarwan    Kumar Himachal Pradesh Krishi Vishvavidyalaya successfuly
INFO 2023-07-12 19:06:45 (8913) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Dr. Yashwant Singh    Parmar University of Horticulture and Forestry successfuly
INFO 2023-07-12 19:06:45 (8913) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Himachal    Pradesh Technical University successfuly
INFO 2023-07-12 19:06:45 (8923) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Himachal Pradesh    University successfuly
INFO 2023-07-12 19:06:45 (8924) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Baba Ghulam Shah    Badhshah University successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Islamic University of    Science and Technology successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sher-e-Kashmir    University of Agricultural Sciences and Technology of Kashmir successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Shri Mata Vaishno    Devi University successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of Jammu successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added University of Kashmir successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Ranchi University successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kolhan University successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added National University    of Study and Research in Law successfuly
INFO 2023-07-12 19:06:45 (8925) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Nilamber-Pitamber    University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Birsa Agricultural    University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Sido Kanhu University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Vinoba Bhave    University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Bangalore University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Davangere University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Gulbarga University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kannada University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnatak University successfuly
INFO 2023-07-12 19:06:45 (8926) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnataka    Samskrit University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnataka State Law    University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnataka State Open    University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnataka State    Women's University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Karnataka Veterinary,    Animal and Fisheries Sciences University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added KSGH    Music and Performing Arts University successfuly
INFO 2023-07-12 19:06:45 (8927) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Kuvempu University successfuly
INFO 2023-07-12 19:06:45 (8928) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Mangalore University successfuly
INFO 2023-07-12 19:06:45 (8928) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added National Law School    of India University successfuly
INFO 2023-07-12 19:06:45 (8928) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rajiv Gandhi    University of Health Sciences successfuly
INFO 2023-07-12 19:06:45 (8929) 	 /tmp/ipykernel_27523/3529496377.py F<module> L12 - Added Rani    Channamma University successfuly
