INFO 2023-07-12 19:58:56 (159693) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added gariaband to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159694) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added janjgir-champa to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159694) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added jashpur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159694) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kabirdham (formerly    kawardha) to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159695) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kanker to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159695) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added kondagaon to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159696) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added korba to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159696) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added koriya to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159697) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mahasamund to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159697) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added mungeli to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159697) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added narayanpur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159698) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added raigarh to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159698) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added raipur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159698) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added rajnandgaon to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159699) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added sukma to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159699) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added surajpur to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159700) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added surguja to chhattisgarh successfuly
INFO 2023-07-12 19:58:56 (159704) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added central delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159705) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added east delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159706) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added new delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159707) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added north delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159707) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added north east delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159708) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added north west delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159708) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added shahdara to delhi successfuly
INFO 2023-07-12 19:58:56 (159708) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added south delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159709) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added south east delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159709) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added south west delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159709) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added west delhi to delhi successfuly
INFO 2023-07-12 19:58:56 (159710) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added north goa to goa successfuly
INFO 2023-07-12 19:58:56 (159710) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added south goa to goa successfuly
INFO 2023-07-12 19:58:56 (159710) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added ahmedabad to gujarat successfuly
INFO 2023-07-12 19:58:56 (159710) 	 /tmp/ipykernel_27421/3834794182.py F<module> L12 - Added amreli district to gujarat successfuly
